2 1 %.1f %.1f %.3f
0 0 0
30 30 1000
14.8989	2.8935	64
15.6213	4.2431	135
15.2384	4.084	189
13.9155	3.6026	167
13.3846	3.6134	177
11.8425	4.0179	122
11.408	6.4263	139
11.7389	7.7732	362
12.5578	14.682	619
15.3319	19.6378	685
19.2504	23.1346	749
22.2452	23.1806	848
24.1721	24.7092	911
23.5422	24.7881	858
23.8916	22.6093	807
23.0338	22.1624	864
23.0942	23.3604	793
20.772	20.9451	861
17.9056	17.5269	818
18.0124	12.531	780
16.1672	7.2028	656
14.8548	5.6342	446
14.9305	4.2135	252
14.723	3.8721	151
14.0015	4.6554	29
12.8394	4.9064	73
11.8454	4.2373	120
11.587	4.0875	116
11.08	4.3152	124
9.7227	5.1177	68
10.8737	6.8011	125
12.0343	8.5543	360
15.3606	15.7996	664
19.7332	20.2608	767
21.8072	21.4662	817
23.4933	23.2023	873
23.9498	23.4598	919
24.2352	24.4691	875
24.6747	23.32	815
24.6322	23.0178	888
22.6836	23.3978	785
19.921	21.2795	841
16.4646	17.9328	785
15.8615	12.605	736
14.8603	7.9537	623
14.1988	6.1835	427
14.0369	4.9504	226
14.0447	4.6983	129
13.6615	4.5585	23
12.9852	5.1857	73
11.7851	4.362	117
11.6018	3.7202	120
10.8438	4.4111	118
9.68	4.6182	72
10.7468	6.4791	125
12.1058	8.4133	363
14.8267	15.7239	654
19.0575	20.0113	756
22.1417	21.9608	818
23.8965	23.5125	878
24.1683	23.9976	918
24.2967	24.4579	876
24.3582	23.2899	809
24.5797	22.9022	888
22.3421	23.3002	779
19.7021	21.165	837
16.4232	17.7448	786
16.4929	12.48	750
14.9983	7.9486	626
14.7656	6.0141	440
14.011	4.5251	230
13.8338	4.8725	123
13.7502	4.4845	25
13.508	5.0351	85
12.1983	4.3495	126
11.8327	3.5445	126
11.1642	4.2885	125
9.6532	4.2896	75
10.7667	6.3643	127
11.8747	8.3531	359
14.4559	15.5531	649
18.6801	19.9372	749
21.6052	21.7955	809
23.829	23.4906	877
24.3	23.9583	921
24.1717	24.0168	878
24.2629	23.1881	808
24.4494	22.7626	886
22.3515	23.2942	779
19.8531	20.6904	845
16.6123	17.6376	791
16.7434	12.394	756
14.9919	7.6199	629
15.1429	5.8928	449
14.2308	4.4089	236
13.9249	4.6477	127
13.9441	4.4831	29
13.9583	4.8836	95
12.7545	4.3116	137
12.3173	3.4258	137
11.5857	4.0958	136
9.895	4.565	77
10.7271	6.6641	123
11.6728	8.5887	353
14.2945	15.6849	644
18.579	20.477	742
21.6776	22.3176	805
23.4947	23.1562	873
24.0056	23.7807	917
23.9208	23.979	874
24.0749	23.0958	806
24.2755	22.6947	884
22.5837	23.1458	785
19.8848	20.3592	849
16.9897	17.1839	803
17.1487	12.3342	765
15.1751	7.5125	633
15.0409	5.577	450
14.3799	4.3579	239
14.0331	4.638	129
13.8736	4.0511	32
13.7543	4.7692	92
12.8797	4.4428	138
12.1036	3.6077	131
11.714	4.1984	137
10.2106	4.6696	83
10.6717	6.869	120
11.6631	8.6222	352
13.9848	15.5904	639
17.6887	20.325	726
21.2553	22.9076	791
23.5675	23.5672	871
24.113	24.3352	914
23.8509	24.2881	869
23.519	23.006	795
24.0184	22.5429	880
22.2337	22.9835	780
19.6086	20.354	844
17.3562	17.0575	812
17.3871	12.3182	770
15.3411	7.5135	637
14.9621	5.6973	447
14.5637	4.1641	245
14.2135	4.4507	135
14.17	4.0226	38
14.3381	4.617	106
13.4719	4.3652	151
12.6965	3.6014	143
12.0128	4.1631	144
10.5593	4.499	91
11.0658	6.8628	128
11.9079	8.5179	358
13.3598	15.5282	627
17.1485	20.2356	716
20.4948	22.8247	777
23.2632	23.4914	865
24.5758	24.6729	920
23.4379	24.2587	861
23.5169	22.8985	796
23.6993	22.3153	876
22.9348	23.4303	789
20.4004	20.9029	854
17.5807	17.3058	814
17.5993	12.3248	774
15.283	7.5513	635
15.0141	5.8275	447
14.7168	4.218	247
14.3378	4.3668	138
