2 1 %.1f %.1f %.3f
0 0 0
30 30 1000
13.5646	4.7795	19
12.7719	4.8594	72
11.8698	4.1643	121
11.7761	4.0163	120
10.9659	4.2486	122
9.8526	5.0948	71
10.8869	6.842	124
12.5401	8.5089	371
15.4534	15.5099	669
19.6085	19.9849	767
21.552	20.8549	818
23.2181	22.6901	873
24.4539	23.4952	929
24.1705	24.5253	873
25.0407	23.4726	821
24.7196	23.1962	887
22.488	23.5527	779
19.1414	20.627	832
16.1796	17.7202	781
15.5565	11.9353	737
15.0475	7.9482	627
14.4743	5.9864	435
13.9754	4.9934	225
13.9808	4.8558	126


